trial,D,W,ID,MT,error,subject_id,group_id,device
11,6.0,2.0,2.004800986263821,729.0792465209961,0,3,0,1
12,9.0,3.0,2.0031882776310477,702.9881477355957,0,3,0,1
13,9.0,3.0,2.0031882776310477,619.1253662109375,1,3,0,1
14,3.5,0.5,3.0588936890535683,293.6131954193115,1,3,0,1
15,12.0,4.0,2.0,975.5039215087892,0,3,0,1
16,1.75,0.25,3.0588936890535683,1317.6238536834717,1,3,0,1
17,9.0,3.0,2.0031882776310477,849.1554260253906,0,3,0,1
18,6.0,2.0,2.004800986263821,811.4194869995117,0,3,0,1
19,15.0,1.0,4.026560826271135,1493.786096572876,0,3,0,1
20,1.75,0.25,3.0588936890535683,976.2251377105712,1,3,0,1
21,11.25,0.75,4.016012317988631,1129.1472911834717,0,3,0,1
22,15.0,1.0,4.026560826271135,1007.493257522583,0,3,0,1
23,11.25,0.75,4.016012317988631,1053.9672374725342,1,3,0,1
24,15.0,1.0,4.026560826271135,1339.174509048462,0,3,0,1
25,3.5,0.5,3.0588936890535683,828.4146785736084,0,3,0,1
26,6.0,2.0,2.004800986263821,858.6437702178955,0,3,0,1
27,6.0,2.0,2.004800986263821,1368.7984943389893,0,3,0,1
28,3.0,1.0,2.019365324866931,827.5401592254639,0,3,0,1
29,3.75,0.25,4.058893689053568,766.8201923370361,0,3,0,1
30,7.5,0.5,4.0636946753173895,945.1291561126708,0,3,0,1
31,11.25,0.75,4.016012317988631,961.0896110534668,0,3,0,1
32,7.5,0.5,4.0636946753173895,930.9289455413818,0,3,0,1
33,6.0,2.0,2.004800986263821,613.0902767181396,0,3,0,1
34,7.0,1.0,3.0241663111307524,692.3954486846924,1,3,0,1
35,7.5,0.5,4.0636946753173895,1126.554012298584,0,3,0,1
36,15.0,1.0,4.026560826271135,809.9203109741211,0,3,0,1
37,3.75,0.25,4.058893689053568,954.517126083374,1,3,0,1
38,3.0,1.0,2.019365324866931,690.3960704803467,1,3,0,1
39,7.0,1.0,3.0241663111307524,759.7939968109131,1,3,0,1
40,3.0,1.0,2.019365324866931,662.6479625701904,0,3,0,1
41,7.0,1.0,3.0241663111307524,702.533483505249,0,3,0,1
42,3.5,0.5,3.0588936890535683,663.2120609283447,1,3,0,1
43,12.0,4.0,2.0,674.7148036956787,0,3,0,1
44,14.0,2.0,3.009586048829198,649.2264270782471,1,3,0,1
45,9.0,3.0,2.0031882776310477,629.9803256988525,0,3,0,1
46,11.25,0.75,4.016012317988631,833.3611488342285,1,3,0,1
47,7.5,0.5,4.0636946753173895,797.4810600280762,0,3,0,1
48,9.0,3.0,2.0031882776310477,563.042163848877,0,3,0,1
49,11.25,0.75,4.016012317988631,857.3038578033447,0,3,0,1
50,3.75,0.25,4.058893689053568,1017.9429054260254,0,3,0,1
